coded_id,year,industry_code,region_code,platform_code,category,seniority,years_required_min,salary_bucket,skill_count_L1,skill_count_L2,skill_count_L3,skill_count_L4_A,skill_count_L4_J,skill_count_L4_F,skill_count_AI,skill_count_unclassified,ajf_step_a_triggered,ajf_step_j_triggered,ajf_step_f_triggered,skills_L1,skills_L2,skills_L3,skills_L4,skills_AI
JD-2023-001,2024,FINTECH,TW_TPE,P_TW_02,design,2年以上,2年以上,UNDISCLOSED,4,1,0,0,0,0,0,1,False,False,False,Figma; Illustrator; Adobe Photoshop; Banner設計,平面視覺設計,,,
JD-2023-002,2024,MEDIA,TW_TPE,P_TW_02,design,2年以上,2年以上,C_45_55k,4,1,0,0,0,0,0,0,False,False,False,Adobe Photoshop; Illustrator; 資訊圖表設計; 平面設計,視覺設計,,,
JD-2023-003,2024,SAAS,TW_TPE,P_TW_02,design,1年以上,1年以上,G_gte120k,1,2,0,0,0,0,0,3,False,False,False,平面設計,視覺設計; 品牌設計,,,
JD-2023-004,2024,BIOTECH,TW_TPE,P_TW_02,design,1年以上,1年以上,B_35_45k,3,1,0,0,0,0,0,2,False,False,False,Photoshop; Illustrator; InDesign,網頁設計,,,
JD-2023-005,2024,DESIGN,TW_TPE,P_TW_02,design,2年以上,2年以上,B_35_45k,1,2,1,0,0,0,0,1,False,False,False,平面設計,視覺設計; 作品集,創意發想,,
JD-2023-006,2023,SAAS,TW_OTHER,P_TW_04,design,資深職位（需相關設計經驗）,資深職位（需相關設計經驗）,UNDISCLOSED,0,1,0,0,0,0,0,3,False,False,False,,使用者介面設計,,,
JD-2023-007,2023,SAAS,TW_OTHER,P_TW_04,design,需相關工作經驗,需相關工作經驗,UNDISCLOSED,0,1,0,0,0,0,0,3,False,False,False,,使用者介面設計,,,
JD-2023-008,2023,SAAS,HK,P_TW_04,design,需相關工作經驗,需相關工作經驗,UNDISCLOSED,0,1,1,0,0,0,0,2,False,False,False,,UI/UX設計,英語溝通能力,,
JD-2023-009,2024,GAME,TW_TPE,P_TW_02,design,5年以上,5年以上,F_90_120k,4,1,0,0,1,0,0,3,False,True,False,Figma; Sketch; Illustrator; Adobe Photoshop,遊戲UI設計,,Design System,
JD-2023-010,2024,GAME,TW_OTHER,P_TW_02,design,2年以上,2年以上,D_55_70k,3,0,0,0,0,0,0,3,False,False,False,Unity; After Effects; 粒子系統,,,,
JD-2023-011,2024,GAME,TW_OTHER,P_TW_02,design,2年以上,2年以上,D_55_70k,4,0,0,0,0,0,0,2,False,False,False,Unity; Spine; After Effects; 粒子系統,,,,
JD-2023-012,2024,GAME,TW_TPE,P_TW_02,design,不限年資,不限年資,C_45_55k,2,1,0,0,0,0,0,3,False,False,False,Adobe Photoshop; Illustrator,UI/UX設計,,,
JD-2023-013,2023,OTHER,TW_TPE,P_TW_03,design,視職級（初階/資深）,視職級（初階/資深）,B_35_45k,4,0,0,0,1,0,0,6,False,True,False,Figma; Sketch; Adobe XD; HTML/CSS基礎概念,,,iOS/Android設計規範,
JD-2023-014,2024,GOV,HK,P_UNKNOWN,design,至少5年全職工作經驗,至少5年全職工作經驗,B_35_45k,6,0,0,0,0,0,0,3,False,False,False,Adobe Illustrator; Photoshop; InDesign; Microsoft PowerPoint; Microsoft Word; 資訊圖表設計,,,,
JD-2023-015,2024,GOV,HK,P_UNKNOWN,design,學士學位（最少0年）；高級文憑/副學士（至少2年）；文憑（至少4年）,學士學位（最少0年）；高級文憑/副學士（至少2年）；文憑（至少4年）,A_lt35k,6,0,0,0,0,0,0,3,False,False,False,平面設計; 動畫設計; Photoshop; Illustrator; InDesign; 插畫技法,,,,
JD-2023-016,2023,DESIGN,TW_TPE,P_TW_04,design,不拘,不拘,B_35_45k,4,1,0,0,0,0,0,2,False,False,False,Photoshop; Illustrator; After Effect; Icon設計,網頁視覺設計,,,
JD-2023-017,2023,HW,TW_TPE,P_TW_01,design,1年以上,1年以上,E_70_90k,0,0,0,0,0,0,1,6,False,False,False,,,,,AI工具輔助（MD/SD）
JD-2023-018,2024,GAME,TW_TPE,P_TW_02,design,4年以上,4年以上,G_gte120k,1,0,0,0,0,0,0,5,False,False,False,Photoshop,,,,
JD-2023-019,2024,SAAS,TW_TPE,P_TW_02,design,5年以上,5年以上,G_gte120k,1,2,1,0,0,0,0,1,False,False,False,Figma,UI/UX設計; 作品集,使用者研究,,
JD-2023-020,2024,SAAS,TW_TPE,P_TW_02,design,2年以上,2年以上,E_70_90k,1,4,0,0,0,0,0,0,False,False,False,Figma,UI/UX設計; 使用者介面設計; 互動設計; 作品集,,,
