coded_id,year,industry_code,region_code,platform_code,category,seniority,years_required_min,salary_bucket,skill_count_L1,skill_count_L2,skill_count_L3,skill_count_L4_A,skill_count_L4_J,skill_count_L4_F,skill_count_AI,skill_count_unclassified,ajf_step_a_triggered,ajf_step_j_triggered,ajf_step_f_triggered,skills_L1,skills_L2,skills_L3,skills_L4,skills_AI
JD-2025-001,2025,OTHER,TW_TPE,P_TW_01,design,Junior (1-2y),2,C_45_55k,2,3,7,0,0,0,0,0,False,False,False,Photoshop; Illustrator,視覺設計; 社群經營; 廣告投放,溝通協調; 邏輯思考; 時間管理; 抗壓性; 主動積極; 創意發想; 細心,,
JD-2025-002,2025,BIOTECH,TW_TXG,P_TW_01,design,Junior (1-2y),2,B_35_45k,4,2,2,0,0,0,0,0,False,False,False,Photoshop; Illustrator; After Effects; InDesign,視覺設計; 社群經營,溝通協調; 簡報能力,,
JD-2025-003,2025,GAME,TW_TPE,P_TW_01,design,Junior (1-2y),1,B_35_45k,6,2,2,0,0,0,0,1,False,False,False,Figma; Photoshop; Illustrator; After Effects; Premiere; 動態設計,視覺設計; 社群經營,溝通協調; 跨部門合作,,
JD-2025-004,2025,GAME,TW_TPE,P_TW_01,design,未指定,,D_55_70k,3,1,2,0,0,0,0,0,False,False,False,Photoshop; Spine; Unity,視覺設計,溝通協調; 主動積極,,
JD-2025-005,2025,GAME,TW_TPE,P_TW_01,design,Junior (1-2y),1,B_35_45k,1,0,1,0,0,0,1,1,False,False,False,Illustrator,,溝通協調,,Stable Diffusion
JD-2025-006,2025,OTHER,TW_TXG,P_TW_01,design,Junior (1-2y),2,C_45_55k,1,0,1,0,0,0,0,1,False,False,False,Photoshop,,跨部門合作,,
JD-2025-007,2025,GAME,TW_TPE,P_TW_01,design,Junior (1-2y),1,B_35_45k,2,1,0,0,0,0,0,1,False,False,False,Photoshop; Illustrator,視覺設計,,,
JD-2025-008,2025,GAME,TW_TPE,P_TW_01,design,Mid (3-4y),3,B_35_45k,4,0,0,0,0,0,0,1,False,False,False,Figma; Photoshop; Illustrator; Sketch,,,,
JD-2025-009,2025,SAAS,TW_KHH,P_TW_01,design,Mid (3-4y),3,UNDISCLOSED,10,0,1,0,0,0,0,0,False,False,False,Photoshop; Illustrator; After Effects; Blender; Maya; 3ds Max; ZBrush; Unity; Unreal; 動態設計,,跨部門合作,,
JD-2025-010,2025,OTHER,TW_TXG,P_TW_01,design,未指定,,B_35_45k,2,1,1,0,1,0,0,1,False,True,False,Figma; Illustrator,視覺設計,溝通協調,Design System,
JD-2025-011,2025,GAME,TW_TPE,P_TW_01,design,Junior (1-2y),2,UNDISCLOSED,4,0,0,0,0,0,0,1,False,False,False,Figma; Photoshop; Illustrator; Unity,,,,
JD-2025-012,2025,DESIGN,TW_TPE,P_TW_01,design,Junior (1-2y),2,C_45_55k,5,3,4,0,0,0,0,3,False,False,False,Figma; Photoshop; Illustrator; After Effects; HTML/CSS,視覺設計; 品牌設計; 原型設計,溝通協調; 主動積極; 創意發想; 細心,,
JD-2025-013,2025,GAME,TW_TPE,P_TW_01,design,Junior (1-2y),2,UNDISCLOSED,3,0,3,0,0,0,0,2,False,False,False,Photoshop; After Effects; Unity,,溝通協調; 跨部門合作; 創意發想,,
JD-2025-014,2025,HW,TW_TPE,P_TW_01,design,Mid (3-4y),3,UNDISCLOSED,4,2,7,0,0,0,0,2,False,False,False,Figma; Illustrator; Unity; Unreal,視覺設計; 原型設計,使用者研究; 溝通協調; 跨部門合作; 邏輯思考; 主動積極; 創意發想; 簡報能力,,
JD-2025-015,2025,MEDIA,TW_TPE,P_TW_01,design,Mid (3-4y),3,UNDISCLOSED,0,0,0,0,0,0,1,0,False,False,False,,,,,Stable Diffusion
JD-2025-016,2025,AI,TW_TPE,P_TW_01,engineering,Junior (1-2y),2,UNDISCLOSED,3,0,1,0,0,0,0,9,False,False,False,Illustrator; Unity; HTML/CSS,,溝通協調,,
JD-2025-017,2025,SAAS,TW_TPE,P_TW_01,engineering,Mid (3-4y),3,E_70_90k,2,0,0,0,0,0,0,10,False,False,False,Illustrator; HTML/CSS,,,,
JD-2025-018,2025,AI,TW_TPE,P_TW_01,engineering,Junior (1-2y),1,D_55_70k,1,0,0,0,0,0,0,4,False,False,False,Unity,,,,
JD-2025-019,2025,FINTECH,TW_TPE,P_TW_01,engineering,Mid (3-4y),3,UNDISCLOSED,1,0,0,0,0,0,0,3,False,False,False,Unity,,,,
JD-2025-020,2025,SAAS,TW_TPE,P_TW_01,engineering,未指定,,UNDISCLOSED,1,0,1,0,0,0,0,5,False,False,False,Unity,,溝通協調,,
JD-2025-021,2025,HW,TW_TPE,P_TW_01,engineering,Mid (3-4y),3,UNDISCLOSED,3,0,0,0,0,0,0,3,False,False,False,Maya; 3ds Max; Unity,,,,
JD-2025-022,2025,GAME,TW_TPE,P_TW_01,engineering,未指定,,UNDISCLOSED,2,0,2,0,0,0,0,5,False,False,False,Unity; HTML/CSS,,溝通協調; 跨部門合作,,
JD-2025-023,2025,DESIGN,TW_TPE,P_TW_01,engineering,未指定,,B_35_45k,3,1,4,0,0,0,0,6,False,False,False,Unity; Unreal; 動態設計,社群經營,溝通協調; 跨部門合作; 主動積極; 創意發想,,
JD-2025-024,2025,HW,TW_TPE,P_TW_01,planning,Senior (5-7y),5,UNDISCLOSED,0,0,5,0,0,0,0,4,False,False,False,,,溝通協調; 跨部門合作; 抗壓性; 主動積極; 簡報能力,,
JD-2025-025,2025,ECOM,TW_TPE,P_TW_01,planning,Junior (1-2y),1,UNDISCLOSED,1,0,6,0,0,0,0,0,False,False,False,Illustrator,,需求訪談; 溝通協調; 跨部門合作; 邏輯思考; 主動積極; 簡報能力,,
JD-2025-026,2025,SAAS,TW_TPE,P_TW_01,planning,Mid (3-4y),3,E_70_90k,1,1,4,0,0,0,0,7,False,False,False,Illustrator,原型設計,溝通協調; 跨部門合作; 邏輯思考; 主動積極,,
JD-2025-027,2025,SAAS,TW_TPE,P_TW_01,planning,Junior (1-2y),2,UNDISCLOSED,1,1,4,0,0,0,0,7,False,False,False,Illustrator,原型設計,需求訪談; 溝通協調; 跨部門合作; 邏輯思考,,
JD-2025-028,2025,OTHER,TW_TPE,P_TW_01,planning,Junior (1-2y),2,UNDISCLOSED,0,0,2,0,0,0,0,2,False,False,False,,,溝通協調; 跨部門合作,,
JD-2025-029,2025,DESIGN,TW_TPE,P_TW_01,planning,Mid (3-4y),3,UNDISCLOSED,2,0,6,0,0,0,0,1,False,False,False,Excel; PowerPoint,,溝通協調; 跨部門合作; 邏輯思考; 抗壓性; 創意發想; 簡報能力,,
JD-2025-030,2025,OTHER,TW_TPE,P_TW_01,planning,Junior (1-2y),2,UNDISCLOSED,6,1,6,0,0,0,0,4,False,False,False,Photoshop; Illustrator; After Effects; Premiere; Excel; PowerPoint,廣告投放,溝通協調; 跨部門合作; 邏輯思考; 抗壓性; 創意發想; 細心,,
JD-2025-031,2025,ECOM,TW_TPE,P_TW_01,planning,Junior (1-2y),2,B_35_45k,0,1,0,0,0,0,0,2,False,False,False,,社群經營,,,
JD-2025-032,2025,ECOM,TW_TPE,P_TW_02,design,新鮮人/Entry,,B_35_45k,3,1,3,0,0,0,0,0,False,False,False,Photoshop; Illustrator; Premiere,視覺設計,需求訪談; 溝通協調; 主動積極,,
JD-2025-033,2025,SAAS,TW_TPE,P_TW_02,design,Mid (3-4y),3,D_55_70k,6,2,0,0,0,0,0,3,False,False,False,Figma; Illustrator; Sketch; After Effects; HTML/CSS; 動態設計,視覺設計; 原型設計,,,
JD-2025-034,2025,SAAS,TW_TPE,P_TW_02,design,Junior (1-2y),2,E_70_90k,3,1,7,0,0,0,0,5,False,False,False,Figma; Photoshop; HTML/CSS,原型設計,使用者研究; 需求訪談; 溝通協調; 跨部門合作; 主動積極; 創意發想; 細心,,
JD-2025-035,2025,SAAS,TW_TPE,P_TW_02,design,Senior (5-7y),5,F_90_120k,4,2,2,0,1,0,0,5,False,True,False,Figma; Photoshop; Sketch; HTML/CSS,視覺設計; 原型設計,使用者研究; 需求訪談,Design System,
JD-2025-036,2025,SAAS,TW_TPE,P_TW_02,design,Senior (5-7y),5,UNDISCLOSED,5,2,3,0,0,0,0,4,False,False,False,Figma; Photoshop; Illustrator; InDesign; 動態設計,視覺設計; 品牌設計,需求訪談; 溝通協調; 主動積極,,
JD-2025-037,2025,OTHER,TW_TXG,P_TW_02,design,Junior (1-2y),2,D_55_70k,2,1,3,0,0,0,0,2,False,False,False,Photoshop; Illustrator,視覺設計,溝通協調; 跨部門合作; 創意發想,,
JD-2025-038,2025,OTHER,TW_TXG,P_TW_02,design,Junior (1-2y),1,C_45_55k,1,1,3,0,0,0,0,1,False,False,False,Photoshop,視覺設計,溝通協調; 跨部門合作; 創意發想,,
JD-2025-039,2025,DESIGN,TW_TPE,P_TW_02,design,Senior (5-7y),5,B_35_45k,6,2,7,0,0,0,0,4,False,False,False,Figma; Photoshop; Illustrator; After Effects; InDesign; 動態設計,視覺設計; 品牌設計,需求訪談; 溝通協調; 跨部門合作; 邏輯思考; 抗壓性; 主動積極; 簡報能力,,
JD-2025-040,2025,DESIGN,TW_TPE,P_TW_02,design,未指定,,B_35_45k,2,0,6,0,0,0,0,6,False,False,False,Illustrator; Sketch,,需求訪談; 溝通協調; 邏輯思考; 抗壓性; 主動積極; 簡報能力,,
JD-2025-041,2025,FINTECH,TW_TPE,P_TW_02,design,Senior (5-7y),5,G_gte120k,4,1,5,0,0,0,0,2,False,False,False,Figma; Sketch; Adobe XD; Excel,原型設計,使用者研究; 需求訪談; 溝通協調; 主動積極; 細心,,
JD-2025-042,2025,SAAS,TW_TPE,P_TW_02,engineering,Mid (3-4y),3,F_90_120k,2,0,1,0,0,0,0,13,False,False,False,Photoshop; HTML/CSS,,跨部門合作,,
JD-2025-043,2025,MEDIA,TW_TPE,P_TW_02,engineering,Mid (3-4y),4,G_gte120k,1,0,3,0,0,0,0,10,False,False,False,HTML/CSS,,需求訪談; 溝通協調; 跨部門合作,,
JD-2025-044,2025,HW,TW_HSZ,P_TW_02,engineering,未指定,,UNDISCLOSED,1,0,0,0,0,0,0,10,False,False,False,HTML/CSS,,,,
JD-2025-045,2025,FINTECH,TW_TPE,P_TW_02,engineering,Mid (3-4y),3,UNDISCLOSED,1,0,2,0,0,0,0,9,False,False,False,HTML/CSS,,需求訪談; 主動積極,,
JD-2025-046,2025,SAAS,TW_TPE,P_TW_02,engineering,未指定,,E_70_90k,1,0,2,0,0,0,2,10,False,False,False,Illustrator,,跨部門合作; 主動積極,,ChatGPT/GPT; Claude
JD-2025-047,2025,SAAS,TW_TPE,P_TW_02,planning,Junior (1-2y),2,D_55_70k,0,1,4,0,0,0,0,4,False,False,False,,原型設計,溝通協調; 跨部門合作; 邏輯思考; 主動積極,,
JD-2025-048,2025,MEDIA,TW_TPE,P_TW_02,planning,Senior (5-7y),5,F_90_120k,1,0,2,0,0,0,0,3,False,False,False,Photoshop,,需求訪談; 溝通協調,,
JD-2025-049,2025,MEDIA,TW_TPE,P_TW_02,planning,Junior (1-2y),1,C_45_55k,0,1,6,0,0,0,0,0,False,False,False,,社群經營,需求訪談; 溝通協調; 抗壓性; 主動積極; 創意發想; 細心,,
JD-2025-050,2025,SAAS,TW_TPE,P_TW_02,planning,Junior (1-2y),2,C_45_55k,1,0,4,0,0,0,0,4,False,False,False,Excel,,需求訪談; 溝通協調; 跨部門合作; 抗壓性,,
JD-2025-051,2025,SAAS,TW_TPE,P_TW_02,planning,Junior (1-2y),2,C_45_55k,0,1,5,0,0,0,0,4,False,False,False,,原型設計,需求訪談; 溝通協調; 跨部門合作; 邏輯思考; 細心,,
JD-2025-052,2025,SAAS,TW_TPE,P_INTL_01,design,Junior (1-2y),1,UNDISCLOSED,2,1,5,0,0,0,0,3,False,False,False,Unity; Excel,視覺設計,需求訪談; 溝通協調; 邏輯思考; 主動積極; 細心,,
JD-2025-053,2025,FINTECH,TW_TPE,P_INTL_01,design,Mid (3-4y),3,UNDISCLOSED,3,0,5,0,1,0,0,5,False,True,False,Figma; Illustrator; Unity,,需求訪談; 溝通協調; 跨部門合作; 主動積極; 細心,Design System,
